address,city,hotel_facilities,point_of_interest,property_name,property_type,room_type,hotel_rating
"Dr Mukherjee Hospital Road, Wright Town, Near Prem Mandir",Jabalpur,Doctor on Call|Parking Facilities Available|Power Backup|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,"Dr Mukherjee Hospital Road, Wright Town|Jabalpur Airport",Shri Dwarka Guest House,Guest House,Standard Room,
"Opp Water Tank, Nr BSNL Office, Nagar Manmad Road, Shirdi",Shirdi,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Medical Assistance Available|Power Backup|Postal / Parcel Services|Room Service (24 Hours)|Air / Rail Booking|Outdoor Parking - Secured|Parking Facility|Room Service,Shirdi Bus Depot|Shirdi Sai Sansthan|Dixit Wada Museum|Gurusthan|Khandoba Temple|Chavadi|Police station|Samadhi Mandir|Water Park|Pimpalwadi Road,Shri Krishna,Hotel,Standard Room,
"rogi road, chungling, kalpa,",Kinnaur,Doctor on Call|Front Desk|Parking Facility|Room Service,Kalpa,SIRAG VIEW RESORT,Resort,Deluxe Rooms,
"49, Saloon, Umaid Club Road, Paota, Jodhpur",Jodhpur,Bar / Lounge |Business Center |Internet Access - Surcharge|Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Gardens|Internet Access Free|Room Service (24 Hours)|Parking (Surcharge)|Outdoor Parking - Secured|Parking Facility|Room Service|Speciality Restaurant,Rai Ka Bagh|Umaid Bhavan Palace|Mehrangarh Fort|Jodhpur Railway Station|Umaid Club|Jodhpur Airport|Jalori Gate|Nagauri Gate|Jaswant Thada,Shree Mohan Villas,Hotel,Premium Room,3.9
"village kandi ,Khanyara Road, Dharamshala, Himachal Pradesh (INDIA) way to aghanjar mahadev temple",Dharmsala,Swimming Pool|Bar / Lounge |Barbecue Area|Doctor on Call|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Power Backup|Gardens|Conference Facility |Kids Play Zone| Drivers Rest Room|Parking Facility|Room Service,Khanyara Road,Snow Hermitage Resort,Resort,Luxury Room,4.2
"Srinagar Colony,SBH Colony, Lane No 3,Door No. - 8-3-988/17",Hyderabad,Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Internet Access Free|Newspapers In Lobby|RO Water Purification System|Room Service|CCTV,NTR Garden|Hyderabad Central|Jalavihar Park|Big Cinema|Hussain Sagar|GVK ONE|L V Prasad Eye Institute|Begumpet Railway Station|Paradise |Ameerpet,Skyla Serviced Apartments - Srinagar colony,Service Apartment,Executive Room,
"N.H. 66, Near Chicken Sal Road",Kundapura,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Room Service (24 Hours)|RO Water Purification System|Room Service,"N.H. 66, Near Chicken Sal Road",Simon Comfort,Hotel,Delux Room,
"Ojale Pakhadi Road, Shrivardhan, Maharashtra 402110",Shrivardhan,Parking Facilities Available|Front Desk|Power Backup|Wake-up Call / Service|Parking Facility|Room Service,Ojale Pakhadi Road,SHREE HOLIDAY HOMES,Homestay,STANDARD AC ROOM,
B-2/5 SAFDARJUNG ENCLAVE NEAR R K KHANNA LAWN TENNIS STADIUM,Delhi,"Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Concierge|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Audio - Visual Equipment|Computer Rental|Wedding Services Facility|Catering|Wake-up Call / Service|Porter / Bellhop|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Kitchen available (home cook food on request)|Multi - Line Phone|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Open Air Restaurant / Dining |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Express Laundry|Taxi Services|Board Room|Food Facility|Internet Access Free|Newspapers In Lobby|Children's Park|Postal / Parcel Services|Room Service (24 Hours)|Party hall|Air / Rail Booking|STD / ISD|Courier Service|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Fire Safety|CCTV|Fire Exit Signs|Full Time Operation for All 7 Days|Hotel Trading License|Metal Detectors|Paid Transfers|Porter Services Available|Public Restrooms|Security at All Hotel Entrances|Smoke Detector",South Delhi|Safdarjung Station|Hungary Embassy|Dilli Haat|AIIMS|R. K. Khanna Tennis Stadium|Embassy and consulates of Belgium in India|Embassy of The Arab Republic of Egypt|Kuwait Embassy|INA Market|Hauz Khas|The Embassy Of Angola|Safdarjang Hospital|Safdarjung Enclave|Embassy of The Republic of Poland|Cultural Attaché of Royal Embassy of Saudi Arabia|Embassy Of The Philippines|Indian Institute of Technology|Deer Park|AASHLOK Hospital|Delegation of the European Union to India|Ethiopia Embassy|Sarojini Nagar Market|Slovenia Embassy,Shreyans Inn,Hotel,DELUXE ROOM,3.9
"50, North Chithirai Street",Madurai,Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|24 Hour Front Desk|Doorman|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Suitable For Children|Wheelchair Accessibility - Room|Food Facility|Newspapers In Lobby|Room Service (24 Hours)|Internet / Fax (Reception area only),Anna Nagar Bus Stop|Periyar Bus Stand|Madurai Main,Sri Temple Park,Hotel,Rooms A/C,2.2
ADJ TO SHREE TALKIES NH-2 BYE PASS ROAD,Agra,Business Center |Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Conference Facility |Taxi Services|Internet Access Free|Room Service (24 Hours)|Internet / Fax (Reception area only)|Parking Facility,Lotus Super Specialties Hospital|Dr. B. R. Ambedkar University|Soami Bagh Samadh |Agra City Railway Station|Inter State Bus Teminal|Radha Swami Samadhi|Delhi Gate|Asopa Hospital|Others,Shree Residency,Hotel,Deluxe Room,3.8
"OPPOSITE SRI VIJAYA MAHAL,CINEMA ROAD.MANDAPETA TOWN ,EAST GODAVARI",Rajahmundry,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Parking Facility|First-Aid Kit at Front Desk,Jampet,SRI KANYA LODGE MANDAPETA,Hotel,AC DELUXE,
"Residency Road, Jodhpur",Jodhpur,Swimming Pool|Banquet Facilities|Bar / Lounge |Business Center |Concierge|Currency Exchange|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Welcome Drinks|Power Backup|Gardens|Wedding Services Facility|Fitness Equipment|Conference Facility |Smoking Rooms|Electronic / Magnetic Keys|Poolside Bar|Smoking Area |Open Air Restaurant / Dining |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Board Room|Food Facility|Internet Access Free|Newspapers In Lobby|Party hall|STD / ISD|Internet / Fax (Reception area only)|RO Water Purification System|Airport Transfer Free|Outdoor Parking - Secured|Parking Facility|Room Service,"Jaswant Thada|Salt Lake|Guda Bishnoi|Balsamand Lake|Mandore Garden|Umaid Bhavan Palace|Panch Batti Circle, Airport Rd|Jodhpur Railway Station|Umaid Club|Jodhpur Airport|Jalori Gate",Shree Ram International,Hotel,Deluxe Room,3.8
"B-8, Nandanvan Colony, opposite injuman Islam school pangari village Pachgani",Panchgani,Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Gardens|Outdoor Parking - Secured|Parking Facility|Room Service|Public Restrooms,Main Town,Shri Laxmi Narayan Bungalow,Bungalow,Standard Room,
"17, SIPCOT Industrial Complex,Hosur  635109",Hosur,Doctor on Call|Dry Cleaning|Lift / Elevator|Front Desk|Room Service,Chandira Choodeswarar Temple|Sipcot Industrial Complex,Sivaranjani Hotel,Hotel,deluxe room,
"Opp Casino Palms, Off Calangute-Baga Road, Baga, Bardez, North Goa",Goa,Airport Transfer Available / Surcharge|Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Grocery|Kitchen available (home cook food on request)| Bike on Rent|Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Taxi Services|City Shuttle Service|Food Facility|Room Service (24 Hours)|Spa Services Nearby| Cook Services|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|Outdoor Parking - Non Secured,"Calangute Beach|Baga Area|Titos lane, baga|Baga Beach|North Goa|Calangute Bus Stand",Sugar Plum Macedo Palms,Guest House,Standard Non A/C Room,4.1
"Dr Zakir Hussain Road,Near St Paul'S School,Jalapahar",Darjeeling,Airport Transfer Available / Surcharge|Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Non Smoking Rooms|Front Desk|Multi Cuisine Restaurant |Non Smoking Hotel|Spa On Site - Chargeable|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Welcome Drinks|Power Backup|Multi Lingual Staff|Wake-up Call / Service|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Multi - Line Phone|Fire Place Available |Massage Services |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Campfire / Bon Fire|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking (Surcharge)|Baggage Room|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility|Suites,Darjeeling Railway Station|Mall Road|St Paul's school|Planters Hospital|Tea Garden|Zoo|Rock Garden|Tiger Hill|INOX / Big Bazaar|Airport|Darjeeling Botanical Garden|Yiga Choeling Monastery|Club Side|Mahakal Temple|Southfield College|Dali|Eden Hospital|Chowk Bazar|Gorkha Ranga Mancha Bhawan|Capital Market|Keventers|T B Hospital|Darjeeling Station|Yuma Nursing Home|Planters|Darjeeling Railway station|Chowrasta|Gymkhana Club,Summit Grace Hotel &amp; Spa,Hotel,Deluxe Room,4.1
Kunjanagar Moiradanga Falakata Distt. Jalpaiguri,Falakata,"Banquet Facilities|Games Zone|Parking Facilities Available|Multi Cuisine Restaurant |Safari|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Campfire / Bon Fire|Room Service (24 Hours)",Kunjanagar,Suncity Resort Falakata,Resort,Stilt House,4.8
"Rongay near Norgumba, chongay road, gangtok",Gangtok,Banquet Facilities|Bar / Lounge |Beauty Salon - on charge|Doctor on Call|Dry Cleaning|Gift Shop |Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Spa On Site - Chargeable|Local Tour / Travel Desk|Luggage Storage|Doorman|Welcome Drinks|Power Backup|Wake-up Call / Service|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Electronic / Magnetic Keys|Wheelchair Accessibility - Room|Smoking Area |Veranda|Shopping Drop Facility (on fixed timings)|Car Rental|Kids Play Zone|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Party hall|Baggage Room|Internet / Fax (Reception area only)|Parking Facility|Internet Access|Restaurant|Trekking|Fire Safety|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Pest Control Facility|Porter Services Available|Public Restrooms|Smoke Detector|Speciality Restaurant |Suites,"Helipad|New College Building, SMIMS|Raj Bhawan|Denzong Cinema|Paljor Stadium|Fambong La Wildlife Sanctuary|Thakurbari Temple and Dharamshala|Devlopment Area|Directorate of Handloom and Handicrafts (DHH)|Sikkim Government Law College|Do-Drul Chorten or Stupa|Banjhakri Falls|Diet College, Burtuk|ICFAI University|Bakthang Waterfalls|Others|Hanuman Tok|Tashi View Point|Manipal Central Referral Hospital|Sikkim Govt. College|Barad Sadan Academic Block, Sikkim University|Nehru Botanical Garden",TASHILING RESIDENCY HOTEL AND SPA,Hotel,Deluxe Room Valley View,4.6
"Court Road, Doliyon Ka Bass, Sikar",Sikar,Parking Facility|Internet Access|Room Service,Sikar,Sunrise Hotel,Hotel,Standard Ac Rooms,
"1/1230 A, branch road, Kochi Fort, Ernakulam",Ernakulam,Doctor on Call|Local Tour / Travel Desk|Medical Assistance Available,Fort Kochi|Fort|Jewish Synagogue,Thanathil Homestay,Homestay,AC Rooms,
"Main Town Gulmarg, Near Hotel Meadows",Gulmarg,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Picnic Area|Taxi Services|Internet Access Free|Room Service (24 Hours)|Parking Facility,Alpathar Lake|Main Town,Sun And Snow II,Hotel,SuperDeluxe Room,3.5
"Naiko Wado, Calangute Candolim Road,Bardez",Goa,Swimming Pool|Bar / Lounge |Billiards|Currency Exchange|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Spa On Site - Chargeable|Local Tour / Travel Desk|Hookah Lounge|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup|Gardens|Catering|Coffee Shop / Cafe|Conference Facility |Kitchen available (home cook food on request)|Pool Table|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Food Facility|Internet Access Free|Room Service (24 Hours)|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service,"Club Cabana|Baga Beach|Thivim Railway Station|Candolim Beach|Calangute beach |Airport|Panjim City|Mapusa|Fort Aquada|Tito's|Madgaon Railway Station|Karmali Railway Station|St. Francis Church|Paradiso|Candolim Bus Stop|Calangute Beach|Titos lane, baga|Calangute Area|North Goa|Calangute Bus Stand",Tangerine Boutique Resort,Resort,Elite Room,2.8
"Bakkhali Frezerganj, south 24 pgns , West Bengal India",Bakkhali,,Bakkhali,Swarna Bishnu Awasan,Hotel,AC Room,
"687, Main Road, Ariyakudi Village",Karaikkudi,Bar / Lounge |Doctor on Call|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Air-Conditioning - Central|Wedding Services Facility|Coffee Shop / Cafe|Conference Facility |Newspapers In Lobby|Party hall|Parking Facility|Restaurant|Room Service,"Main Road, Ariyakudi Village",Thappa gardens Resort,Resort,Deluxe,4.5
"A-14, Phase-II, Taj Nagari, Fatehabad Road",Agra,Business Center |Doctor on Call|Dry Cleaning|Lift / Elevator|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Multi Lingual Staff|Separate Sitting Area|Car Rental|Board Room|Food Facility|Internet Access Free|Newspapers In Lobby|Whirlpool Bath / Shower Cubicle|Air / Rail Booking|Guide / Sightseeing Service|RO Water Purification System|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk,AMIT JAGGI MEMORIAL HOSPITAL|Taj Mahal|Mugal Bazar|Dr Upadhyay Hospital|Fatehabad Road|U P Handicraft Bazar|TDI Mall,Taj Heights,Hotel,Deluxe Room with free Wifi,4
"1012, Shukrawar Peth, Near MCCIA Swargate Circle",Pune,Doctor on Call|Parking Facilities Available|Newspapers In Lobby|Outdoor Parking - Secured|Parking Facility,Ramamani Iyengar Memorial Yoga Institute|Race Course|Prabhat Cinema|Deenanath Mangeshkar Hospital|Kamla Nehru Hospital|Jawaharlal Nehru Stadium|Sahyadri Hospital|AFMC College of Nursing|Nehru Stadium|Chaitanya Hospital|Poona Hospital &amp; Research Centre|Vishrambaug Wada|Others|saras baug|Shaniwar Wada|Nucleus Mall|Swargate ST Stand|Raja Dinkar Kelkar Museum|Tilak Road|Universal Hospital|Pune Airport|Lokmanya Hospitals Joint Replacement Center|National War Museum|Bharati Vidyapeet University|Sancheti Hospital|National Institute of Ophthalmology|Anandibai Narhar Gadgil Hospital|Pune Junction Railway Station|Pataleshwar Cave Temples|dagdusheth ganpati|Parvati Hill|Poona Hospital & Research Centre,sundaram hotel,Hotel,Standard Room,2
"Devakottai Road, Senjai",Karaikudi,,S.A.R.M. House,The Bangala,Hotel,Rooms,
"N.S. Phadke Road, Off Western Express Highway, Andheri (East)",Mumbai,Ballroom|Banquet Facilities|Currency Exchange|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Audio - Visual Equipment|Computer Rental|Multi Lingual Staff|Exhibit Space|Wake-up Call / Service|Porter / Bellhop|Conference Facility |Smoking Rooms|ATM / Banking|Fax Machine|Electronic / Magnetic Keys|Multi - Line Phone|Fire Place Available |Floor Butler|Wheelchair Accessibility - Room|Transfers Available|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Taxi Services|Board Room|Food Facility|Internet Access Free|Newspapers In Lobby|Electronic Check-Out|Postal / Parcel Services|Family Room|Room Service (24 Hours)|Party hall|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Guide / Sightseeing Service|Laptop Available on Hire|Adjoining Rooms|Courtesy Coach|RO Water Purification System|Airport Transfer Free|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Pest Control Facility|Porter Services Available|Public Restrooms|Security at All Hotel Entrances|Smoke Detector,Mount Mary Church|Juhu Beach|Gateway of India|Seepz Industrial Area|International Airport|Bandra Railway Station|Bandra Kurla Complex|Kurla Railway Station|Nehru Planetarium|Mahakali Caves|Jogeshwari Railway Station|Vile Parle Railway Station|Santacruz Station|Andheri Railway Station|Chhatrapati Shivaji International Airport|Garware Hosue|Andheri|Milan Subway|Marol Naka,Suba Galaxy,Hotel,Standard Room (Single),4.4
"Above Barfung Primary School,Barfung, Sub division,, Ravongla, Sikkim 737139",Ravangla,Doctor on Call|Parking Facilities Available|Front Desk|Medical Assistance Available|Public Restrooms,Barfung,The Barfung Retreat,Resort,DELUXE ROOM,
"Cobra Vaddo, Calangute",Goa,"Pick Up and Drop (Rly Station, Bus Stand, Temple)|Guide / Sightseeing Service","Candolim Bus Stop|Calangute Beach|Titos lane, baga|Baga Beach|Calangute Area|North Goa|Calangute Bus Stand|Candolim Beach",St Anthony Guest House Calangute,Guest House,Standard Non AC Room,5
Chulung Old Road Leh,Leh,Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Gardens|Internet Access Free|Parking (Surcharge)|Outdoor Parking - Secured|Parking Facility|Room Service|Speciality Restaurant |Suites,Archery Stadium|Namgyal Tsemo Gompa|Old Castle Tsemo Hill|General Zorawar Fort|Namgyal Tsemo Monastery|Leh Palace|Kushok Bakula Rimpochee Airport|Old Road|Zoravar Singh Fort|Golf Course|Khardung La Pass,The Auspicious Ladakh,Hotel,Comfort Room,3.9
"group theaters,tirupati",Tirupati,Doctor on Call|Lift / Elevator|Front Desk|Parking Facility|Room Service|Public Restrooms,Silathoranam|Main Town|Sri Venkateswara Temple,Ssb Residency,Hotel,Double Bed AC Room,
"Tabo, H.P",Lahaul and Spiti,Doctor on Call|Laundry Service Available|Front Desk|Local Tour / Travel Desk|Doorman|Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Family Room|Room Service (24 Hours)|Adjoining Rooms|Outdoor Parking - Secured|Room Service|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,Tabo,Tabo Millennium Guest House,Guest House,DELUXE,
"C 12,Panchsheel Enclave",Delhi,"Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Non Smoking Hotel|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Air-Conditioning - Central|Power Backup|Wedding Services Facility|Catering|Multi Lingual Staff|Exhibit Space|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Conference Facility |Smoking Rooms|Fax Machine|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Extra Person / Child - Share the same room|Car Rental|Taxi Services|Board Room|City Shuttle Service|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Party hall|Air / Rail Booking|STD / ISD|Internet / Fax (Reception area only)|RO Water Purification System|Outdoor Parking - Secured|Parking Facility",DLF courtyard|Hauz Khas|Pushpawati Singhania Research Institute|Khirki Masjid|District Court Saket|Masjid Moth|IIBMS|Fortis La Femme|Metro Station Hauz Khas|Siri Fort|South Delhi,STEPiNN Panchsheel Enclave,Guest House,Deluxe Room,2.6
p k layout,Tirupati,Laundry Service Available|Lobby|Power Backup|Parking Facility|Internet Access,R S Shopping Mall|Tirumala Tirupati Devasthanam|Titupati Railway Station|Main Town|Tirupati Bus Stand,surabhi residency,Lodge,Deluxe AC Room,
Ghat No  Boulevard Road Near Zabarwan Park Dal Lake Srinagar Kashmir,Srinagar,Doctor on Call|Dry Cleaning|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Doorman|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days,Pari Mahal|Dal Lake|Nishat Bagh|Others|Mughal Gardens|Chashma Shahi|Nagin Lake,Texas Deluxe,Houseboat,Deluxe Room,
"No 9, Jayanthi Nagar, 200th Feet Road, Kolathur",Chennai,Bar / Lounge |Doctor on Call|Laundry Service Available|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Air-Conditioning - Central|Power Backup|Internet Access Free,Others|Spectrum The Grand Venus Mall|Perambur Station,SRM Grands,Hotel,Executive Room,3.5
"P C Nilaya, Thalathmane Road, (Mangalore Road) , Madikeri",Coorg,Gardens|Campfire / Bon Fire|Outdoor Parking - Secured|CCTV,Omkareshwara temple|Madikeri Fort|Madikeri Bus stand|Mercara Downs Golf Club|Madikeri|Gaddige,Stay Coorg,Homestay,2 BHK,
"Next To Margao Kadamba Bus Stand, Behind New Collector`s Building Near J N Stadium Fatorda",Goa,Doctor on Call|Laundry Service Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Conference Facility |Internet Access|Room Service,Seraulim Railway Station|Apollo Victor Hospital|Pandit Jawaharlal Nehru Stadium|Carmel College|Hospicio Hospital|Madgoan Railway Station|South Goa|Margao,Sunaina Hotel,Hotel,Standard Non A/C Room,4
"2558, Near Post Office, Malvan.",Malwan,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Air-Conditioning - Central|Power Backup,Malvan Marine Wildlife Sanctuary|Tarkarli|Post Office|Snorkeling,Sunpark Homestay,Homestay,AC ROOM,
"Valvan, Lonavala",Lonavala,,Bhairavnath Temple|Bhaja Caves|Lonavala Railway Station|Bushy Dam|Tungarli Lake|Lonavla Lake|Bhushi Dam|Manranjan Fort|Valvan|Rajmachi Wildlife Sanctuary,Sushila Guest House,Service Apartment,3BHK,
"No.108 ABCD,, Madurai Rd ,Tirunelveli Junction,",Tirunelveli,Doctor on Call|Parking Facilities Available|Front Desk,Madurai Road|Ariyakulam Bird Sanctuary|Vidivelli Achiramam|Allagammai Kashi Vishvanathar,Syed Tourist Home,Hotel,A/C SUITE ROOM,
"148,1st Road,Bapuji Nagar,Near Durga Mandap,Bhubaneshwar,Orissa,751009",Bhubaneswar,"Airport Transfer Available / Surcharge|Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Power Backup|Express Check-In / Check-Out|Multi Lingual Staff|Wake-up Call / Service|Porter / Bellhop|Suitable For Children|Separate Sitting Area|Kitchen available (home cook food on request)|Electronic / Magnetic Keys|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Express Laundry|Water Dispenser Available|Taxi Services|City Shuttle Service|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Postal / Parcel Services|Family Room|Room Service (24 Hours)|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Guide / Sightseeing Service|Parking Facility|Room Service|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Hotel Trading License|Metal Detectors|Paid Transfers|Porter Services Available|Security at All Hotel Entrances|Smoke Detector|Suites",Others|Lingaraja Temple|Kalinga Stadium|Biju Patnaik International Airport|Orissa State Museum|Orissa University of Agriculture and Technology|Bhubneshwar Railway Station|Lingaraj Railway Station|Dhauli Giri|Local-Lingaraj Temple Road,TAJ PALACE,Hotel,AC Double Bed Room,2.5
"200, Radhaswami Nagar, Nemawar Road, Teen Imli Sqaure, Indore (M.P.)",Indore,Bar / Lounge |Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Newspapers In Lobby|Baggage Room|Internet / Fax (Reception area only)|Parking Facility|Restaurant|Room Service|CCTV|Full Time Operation for All 7 Days,Bada Ganpati Temple|Omkareshwar Temple|Meghdoot Upvan Garden|Devi Ahilyabai Holkar Airport|Nehru Stadium|Lal Bagh Palace|Indore Junction|Sukh Niwas Palace|Rajwada Palace|Sarwate Bus Stand|Indore Museum|Nermawar Road|Annapurna Temple|Krishnapura Chhatris Tomb,Surbhi Hotel,Hotel,Non A/C Room,1
"02, Paota Fort Rd, Polo 1st Paota, Paota, Jodhpur, Rajasthan",Jodhpur,Doctor on Call|Parking Facilities Available|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Room Service|First-Aid Kit at Front Desk,Umaid Bhavan Palace|Mahamandir Temple|Paota Circle|Mehrangarh Fort|Jodhpur Railway Station|Umaid Club|Jodhpur Airport|Jalori Gate|Nagauri Gate|Jaswant Thada,Sunrise Hotel,Hotel,Deluxe room,
"Near Pench National Park, Village awarghani, kurai",Pench,Doctor on Call|Front Desk|Major Credit Cards Accepted|Doorman,Kurai Seoni,Taj Baghvan,Resort,Deluxe,
"kavanattinkara- near, 315 co oparitive bank bus stop, gonginikari, Kottayam",Kottayam,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Medical Assistance Available,Kottayam Dist|Kottayam Station|Marmala,Sylvania Tourist Enclave,Cottage,Cottages,
